Gender,Architecture,Model,ModelDisplay,CommonSeasons,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty,StandardError,OneSELimit,WithinOneSE,RawBest,Recommended
M,pooled_common,hist_classifier,Histogram boosting,"[2016, 2017, 2018, 2019, 2021]",4,334,5,0.1806688479903381,0.18058886562262222,0.030977556666365626,0.20962081957398307,0.5406793555261393,0.8077200577200577,0.7722920521232517,0.7682942797207509,0.7365269461077845,0.7377344877344878,0.6987951807228916,0.7532467532467533,0.725,0.4740346766491302,0.5,130,50,38,116,0.46107784431137727,0.49700598802395207,-0.21784552412265398,0.8322309939398992,0.06241587541575848,0.16214989770593874,0.006513034306685515,0.07180366923139216,0.24848506579655064,0.013853584496569062,0.19452243248690718,True,True,False
M,pooled_common,lgb_classifier,LightGBM classifier,"[2016, 2017, 2018, 2019, 2021]",6,334,5,0.18257382942508196,0.18247187547815208,0.027135367597947286,0.21662644769967013,0.5409651635149819,0.8045454545454547,0.7714947221462205,0.7690809908913839,0.7275449101796407,0.7312770562770563,0.6779661016949152,0.7792207792207793,0.7250755287009063,0.4619794954326231,0.5,123,57,34,120,0.46107784431137727,0.5299401197604791,-0.23486846154982396,0.8868040003244871,0.06159309931140056,0.17981931584986954,0.005962412291157262,0.07116057040231234,0.24848506579655064,0.012135305308691063,0.19452243248690718,True,False,False
M,separate_gender,ridge_margin,Ridge margin,"[2016, 2017, 2018, 2019, 2021]",7,334,5,0.18265410931260168,0.18260968120435814,0.016228309603694004,0.19993028606707802,0.5431958152320185,0.7998917748917749,0.7847463682431212,0.7837815534700102,0.718562874251497,0.7201298701298702,0.6785714285714286,0.7402597402597403,0.7080745341614907,0.4389316535528061,0.5,126,54,40,114,0.46107784431137727,0.5029940119760479,-0.14642305543679537,0.9308954666700768,0.054962204615839456,0.11502676312349852,0.004682032506569269,0.06959685291749589,0.24848506579655064,0.007257520686754493,0.19452243248690718,True,False,False
M,separate_gender,lgb_classifier,LightGBM classifier,"[2016, 2017, 2018, 2019, 2021]",6,334,5,0.18272502587990885,0.18266957371172637,0.01709591908954784,0.20124605005285362,0.5418913142368369,0.8024531024531023,0.7690135742947495,0.7673093999965976,0.7305389221556886,0.7317099567099568,0.6927710843373494,0.7467532467532467,0.71875,0.46202196177805205,0.5,129,51,39,115,0.46107784431137727,0.49700598802395207,-0.21060443417321525,0.9051881043059407,0.05366576994646299,0.18128355069762148,0.007038475419121086,0.07228666046816994,0.24848506579655064,0.007645527444413056,0.19452243248690718,True,False,False
M,pooled_common,xgb_classifier,XGBoost classifier,"[2016, 2017, 2018, 2019, 2021]",5,334,5,0.18323013475646033,0.18313381229948072,0.02510799617689585,0.21540183538764912,0.5405253954262537,0.8029220779220779,0.7818639272243837,0.7807810467296159,0.7095808383233533,0.7136724386724387,0.659217877094972,0.7662337662337663,0.7087087087087087,0.42715230157134526,0.5,119,61,36,118,0.46107784431137727,0.5359281437125748,-0.25015782846504797,0.9197597869217711,0.053672746727298846,0.15751172827951837,0.004746346513724727,0.06801712467344921,0.24848506579655064,0.01122863724606879,0.19452243248690718,True,False,False
M,pooled_common,constrained_ensemble,Constrained ensemble,"[2016, 2017, 2018, 2019, 2021]",20,334,5,0.1833593907777637,0.18327764217047374,0.023235422648628653,0.21066342561260118,0.5427528797327926,0.8015512265512266,0.7778804163282957,0.776482982235954,0.7155688622754491,0.7196969696969697,0.664804469273743,0.7727272727272727,0.7147147147147147,0.43919593391347167,0.5,120,60,35,119,0.46107784431137727,0.5359281437125748,-0.21880951661271514,0.9227313559581027,0.06055158063883617,0.1536023413606784,0.00546103030629098,0.06977830818877152,0.24848506579655064,0.010391196905654375,0.19452243248690718,True,False,False
M,partial_pooling,partial_pooling_ensemble,Partial-pooling ensemble,"[2016, 2017, 2018, 2019, 2021]",21,334,5,0.18345636723019035,0.1833738097941474,0.02236450354384168,0.21103055086853903,0.5419219967052206,0.7979437229437231,0.7719780621292265,0.7707373350102513,0.7095808383233533,0.7127344877344878,0.6628571428571428,0.7532467532467533,0.7051671732522796,0.42466544505309334,0.5,121,59,38,116,0.46107784431137727,0.5239520958083832,-0.17949984964097587,0.9469789445934002,0.050249546530942345,0.12195792390310811,0.004336689086164553,0.06874294575855174,0.24848506579655064,0.010001710041412988,0.19452243248690718,True,False,False
M,separate_gender,xgb_margin,XGBoost margin,"[2016, 2017, 2018, 2019, 2021]",8,334,5,0.1837948717598979,0.18372766397096688,0.01881128679375019,0.2062422732628475,0.5494944660650656,0.797943722943723,0.7676608145449113,0.7664209764363226,0.7335329341317365,0.7354256854256854,0.6923076923076923,0.7597402597402597,0.7244582043343654,0.46945625261194024,0.5,128,52,37,117,0.46107784431137727,0.5059880239520959,-0.1262943185517142,0.8535303974111633,0.0784066240592615,0.19319534411711436,0.00997464463579472,0.07235870888470584,0.24848506579655064,0.008412663203013898,0.19452243248690718,True,False,False
M,pooled_common,ridge_margin,Ridge margin,"[2016, 2017, 2018, 2019, 2021]",7,334,5,0.18442777144015554,0.1843530007780868,0.020876428722227915,0.2094011725711101,0.5483642223096724,0.7981962481962482,0.7767178090363855,0.7755603974652483,0.7065868263473054,0.7080808080808081,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.4149062238106499,0.5,124,56,42,112,0.46107784431137727,0.5029940119760479,-0.15178547155029795,0.8749199123006731,0.04600292844668684,0.19235751845729365,0.005014204996007419,0.06682165465092742,0.24848506579655064,0.009336222750066138,0.19452243248690718,True,False,False
M,separate_gender,xgb_classifier,XGBoost classifier,"[2016, 2017, 2018, 2019, 2021]",5,334,5,0.18475572775572746,0.1846877085417331,0.021465118051351983,0.20747414522985944,0.5456265507117676,0.7968253968253969,0.7688948658134063,0.7678321832140647,0.7215568862275449,0.7243145743145742,0.6763005780346821,0.7597402597402597,0.7155963302752294,0.44755674930664346,0.5,124,56,37,117,0.46107784431137727,0.5179640718562875,-0.22337338275251814,0.9580181654403195,0.04104365392805574,0.11927180421171768,0.002782953657358897,0.06490836892291818,0.24848506579655064,0.00959949262157617,0.19452243248690718,True,False,False
M,separate_gender,constrained_ensemble,Constrained ensemble,"[2016, 2017, 2018, 2019, 2021]",20,334,5,0.18518925230318395,0.18510376921834878,0.02239743623226318,0.21374060263812827,0.5469954548193525,0.7949134199134199,0.765429752524257,0.7641991842267856,0.7005988023952096,0.702056277056277,0.6607142857142857,0.7207792207792207,0.6894409937888198,0.40289350893957177,0.5,123,57,43,111,0.46107784431137727,0.5029940119760479,-0.16256546175497497,0.9158886514607285,0.05096222034590138,0.12110491612802388,0.004579245152846742,0.06573025456340192,0.24848506579655064,0.010016437987411447,0.19452243248690718,True,False,False
