Gender,Decision,architecture,model,model_display,macro_season_brier,game_weighted_brier,roc_auc,average_precision,precision,recall,f1,calibration_slope,ece,complexity_rank
M,Lowest-score winner,pooled_common,hist_classifier,Histogram boosting,0.1806688479903381,0.18058886562262222,0.8077200577200577,0.7722920521232517,0.6987951807228916,0.7532467532467533,0.725,0.8322309939398992,0.06241587541575848,4
M,Recommended winner,separate_gender,elastic_logistic,Rich elastic-net logistic,0.18679921336650537,0.18671039954105978,0.7944805194805195,0.7701025989822741,0.6666666666666666,0.7532467532467533,0.7073170731707317,0.9423059564701983,0.06841916378314224,3
M,Best separate model,separate_gender,ridge_margin,Ridge margin,0.18265410931260168,0.18260968120435814,0.7998917748917749,0.7847463682431212,0.6785714285714286,0.7402597402597403,0.7080745341614907,0.9308954666700768,0.054962204615839456,7
M,Best pooled model,pooled_common,hist_classifier,Histogram boosting,0.1806688479903381,0.18058886562262222,0.8077200577200577,0.7722920521232517,0.6987951807228916,0.7532467532467533,0.725,0.8322309939398992,0.06241587541575848,4
W,Lowest-score winner,pooled_common,xgb_classifier,XGBoost classifier,0.14868358783438557,0.1486835878343856,0.8699105055228574,0.8686935624625586,0.7560975609756098,0.7898089171974523,0.7725856697819314,1.0135435724762516,0.06808284912554044,5
W,Recommended winner,pooled_common,seed_logistic,Seed logistic,0.15297833079837614,0.1529783307983761,0.8585624445698621,0.8538047342013328,0.7592592592592593,0.7834394904458599,0.7711598746081505,1.3965525926216675,0.05939511366425055,1
W,Best separate model,separate_gender,lgb_classifier,LightGBM classifier,0.14877543558028994,0.14877543558028997,0.8704748851084415,0.8563875822068496,0.7730061349693251,0.802547770700637,0.7875,0.9942310194379871,0.06459261123612246,6
W,Best pooled model,pooled_common,xgb_classifier,XGBoost classifier,0.14868358783438557,0.1486835878343856,0.8699105055228574,0.8686935624625586,0.7560975609756098,0.7898089171974523,0.7725856697819314,1.0135435724762516,0.06808284912554044,5
