Architecture,Universe,Model,Gender,SeedGapBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
pooled_common,rich,elo_seed_logistic,W,9-12,45,0.03309930454966053,0.022222222222222223,0.8699608283738295
pooled_common,rich,elo_seed_logistic,W,13+,40,0.004106381283756179,0.0,0.9369854678865522
pooled_common,rich,hist_classifier,M,0,24,0.21637193431609822,0.0,0.5916641964677253
pooled_common,rich,hist_classifier,M,1-2,57,0.2337001728056561,0.017543859649122806,0.6096686290629973
pooled_common,rich,hist_classifier,M,3-5,87,0.21051679088102598,0.022988505747126436,0.6742354126621984
pooled_common,rich,hist_classifier,M,6-8,74,0.16280595469585435,0.08108108108108109,0.7759908386186555
pooled_common,rich,hist_classifier,M,9-12,52,0.16553437425935766,0.11538461538461539,0.8577838908322731
pooled_common,rich,hist_classifier,M,13+,40,0.07081139822044968,0.075,0.9653407043898691
pooled_common,rich,hist_classifier,W,0,5,0.3638661177843603,0.2,0.6393525018806405
pooled_common,rich,hist_classifier,W,1-2,64,0.2728691925480067,0.046875,0.6733427832381085
pooled_common,rich,hist_classifier,W,3-5,102,0.19218235794961344,0.058823529411764705,0.7462485771109525
pooled_common,rich,hist_classifier,W,6-8,59,0.1473771867822464,0.1016949152542373,0.8768714380381398
pooled_common,rich,hist_classifier,W,9-12,45,0.029744813206929847,0.022222222222222223,0.9361527251042933
pooled_common,rich,hist_classifier,W,13+,40,0.0004158671105605501,0.0,0.984192523584231
pooled_common,rich,lgb_classifier,M,0,24,0.21439999984576308,0.0,0.5638614506416944
pooled_common,rich,lgb_classifier,M,1-2,57,0.23151918864839113,0.0,0.6008703547909309
pooled_common,rich,lgb_classifier,M,3-5,87,0.22393504952245627,0.034482758620689655,0.6591471231764092
pooled_common,rich,lgb_classifier,M,6-8,74,0.15855784198395126,0.05405405405405406,0.7821239509646285
pooled_common,rich,lgb_classifier,M,9-12,52,0.16443674711111217,0.1346153846153846,0.8597109922964473
pooled_common,rich,lgb_classifier,M,13+,40,0.07092680488505645,0.075,0.9541688405673174
pooled_common,rich,lgb_classifier,W,0,5,0.32468229759023004,0.2,0.624745425244298
pooled_common,rich,lgb_classifier,W,1-2,64,0.26164506739208326,0.046875,0.6509360831910904
pooled_common,rich,lgb_classifier,W,3-5,102,0.18120922121272595,0.049019607843137254,0.7386359510101642
pooled_common,rich,lgb_classifier,W,6-8,59,0.15499971543194693,0.11864406779661017,0.8605458517314781
pooled_common,rich,lgb_classifier,W,9-12,45,0.02860682833829576,0.022222222222222223,0.9159102751422429
pooled_common,rich,lgb_classifier,W,13+,40,0.0016150926856099142,0.0,0.9666371105803613
pooled_common,rich,lgb_margin,M,0,24,0.2390136363124964,0.0,0.5855115763897822
