Stage,OuterFoldID,Model,ElapsedSeconds,StartRSSMB,EndRSSMB,RSSDeltaMB,AvailableRAMGBStart,AvailableRAMGBEnd,Succeeded
outer_model,rich_Pooled_2016,constant_probability,0.012720299999728013,756.140625,756.20703125,0.06640625,1.6650199890136719,1.6597251892089844,True
outer_model,rich_Pooled_2016,seed_logistic,0.012502600000061648,759.31640625,758.3203125,-0.99609375,1.6557693481445312,1.6517982482910156,True
outer_model,rich_Pooled_2016,elo_seed_logistic,0.014045699999769568,758.3203125,758.50390625,0.18359375,1.5577278137207031,1.5576019287109375,True
outer_model,rich_Pooled_2016,elastic_logistic,0.01037159999987125,758.50390625,758.640625,0.13671875,1.5502395629882812,1.5501899719238281,True
outer_model,rich_Pooled_2016,hist_classifier,0.01677819999986241,758.640625,758.76171875,0.12109375,1.5471649169921875,1.5471725463867188,True
outer_model,rich_Pooled_2016,xgb_classifier,0.01872410000032687,758.76171875,758.91015625,0.1484375,1.5479583740234375,1.5477714538574219,True
outer_model,rich_Pooled_2016,lgb_classifier,0.009775699999863718,758.91015625,759.06640625,0.15625,1.5487289428710938,1.5486831665039062,True
outer_model,rich_Pooled_2016,torch_mlp,0.024876099999801227,759.06640625,759.2890625,0.22265625,1.5466766357421875,1.5463409423828125,True
outer_model,rich_Pooled_2016,tensorflow_mlp,0.01327209999999468,759.29296875,759.3984375,0.10546875,1.544219970703125,1.5442161560058594,True
outer_model,rich_Pooled_2016,ridge_margin,0.02754240000012942,759.3984375,759.56640625,0.16796875,1.5572242736816406,1.55963134765625,True
outer_model,rich_Pooled_2016,xgb_margin,0.013475499999913154,759.56640625,759.66015625,0.09375,1.5565834045410156,1.5565872192382812,True
outer_model,rich_Pooled_2016,lgb_margin,0.01038269999980912,759.6171875,759.70703125,0.08984375,1.5554389953613281,1.5555267333984375,True
outer_model,rich_Pooled_2017,constant_probability,0.009257100000013452,759.70703125,759.82421875,0.1171875,1.5634040832519531,1.5634117126464844,True
outer_model,rich_Pooled_2017,seed_logistic,0.01247540000031222,759.82421875,759.95703125,0.1328125,1.5654144287109375,1.5652885437011719,True
outer_model,rich_Pooled_2017,elo_seed_logistic,0.010748799999873881,759.95703125,760.09765625,0.140625,1.5672073364257812,1.5670814514160156,True
outer_model,rich_Pooled_2017,elastic_logistic,0.012117400000079215,760.09765625,760.2734375,0.17578125,1.5651588439941406,1.5651588439941406,True
outer_model,rich_Pooled_2017,hist_classifier,0.014943900000162103,760.2734375,760.50390625,0.23046875,1.5648040771484375,1.5646171569824219,True
outer_model,rich_Pooled_2017,xgb_classifier,0.01755170000024009,760.50390625,760.63671875,0.1328125,1.5701866149902344,1.5706901550292969,True
outer_model,rich_Pooled_2017,lgb_classifier,0.014424899999994523,760.63671875,760.77734375,0.140625,1.579620361328125,1.5796012878417969,True
outer_model,rich_Pooled_2017,torch_mlp,0.010699800000111281,760.77734375,760.9921875,0.21484375,1.6021232604980469,1.6021347045898438,True
outer_model,rich_Pooled_2017,tensorflow_mlp,0.010471900000084133,760.9921875,761.1484375,0.15625,1.5999526977539062,1.5997657775878906,True
outer_model,rich_Pooled_2017,ridge_margin,0.008509899999808113,761.15234375,761.3359375,0.18359375,1.6711502075195312,1.6710243225097656,True
outer_model,rich_Pooled_2017,xgb_margin,0.010990399999627698,761.3359375,761.5,0.1640625,1.6881332397460938,1.6880683898925781,True
outer_model,rich_Pooled_2017,lgb_margin,0.028786200000013196,761.50390625,761.66796875,0.1640625,1.6931381225585938,1.6931343078613281,True
outer_model,rich_Pooled_2018,constant_probability,0.024533400000109395,761.66796875,761.85546875,0.1875,1.6991004943847656,1.6990966796875,True
outer_model,rich_Pooled_2018,seed_logistic,0.015220400000089285,761.85546875,762.0703125,0.21484375,1.6997528076171875,1.6996307373046875,True
