Architecture,Universe,Model,Gender,TournamentDayBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
pooled_common,rich,lgb_classifier,M,rounds_1_2,235,0.17022628404675322,0.05106382978723404,0.7599509828345197
pooled_common,rich,lgb_classifier,M,rounds_3_4,64,0.22750771755274052,0.0625,0.6971236972321452
pooled_common,rich,lgb_classifier,M,semifinal,14,0.15195910046416314,0.07142857142857142,0.7448707579035044
pooled_common,rich,lgb_classifier,M,final_or_other,5,0.21439887159529558,0.0,0.5970130472205321
pooled_common,rich,lgb_classifier,W,rounds_1_2,176,0.11233961026422574,0.011363636363636364,0.8070842118397595
pooled_common,rich,lgb_classifier,W,rounds_3_4,112,0.1951327240662844,0.10714285714285714,0.7918273784876
pooled_common,rich,lgb_classifier,W,semifinal,20,0.2520034395600169,0.15,0.7429260077797281
pooled_common,rich,lgb_classifier,W,final_or_other,7,0.09746075210673973,0.0,0.7411639543224536
pooled_common,rich,lgb_margin,M,play_in,16,0.22492973171955166,0.0,0.58340837353133
pooled_common,rich,lgb_margin,M,rounds_1_2,235,0.17272937515008346,0.04680851063829787,0.7503456152341194
pooled_common,rich,lgb_margin,M,rounds_3_4,64,0.2275400441375247,0.046875,0.7034699199844242
pooled_common,rich,lgb_margin,M,semifinal,14,0.12998089105756033,0.0,0.7231881557444985
pooled_common,rich,lgb_margin,M,final_or_other,5,0.28046882008242735,0.0,0.6749650029149568
pooled_common,rich,lgb_margin,W,rounds_1_2,176,0.11444324884127134,0.017045454545454544,0.8152986805550675
pooled_common,rich,lgb_margin,W,rounds_3_4,112,0.20070622783590444,0.11607142857142858,0.8004317680949418
pooled_common,rich,lgb_margin,W,semifinal,20,0.24810120144127884,0.2,0.7828663858093381
pooled_common,rich,lgb_margin,W,final_or_other,7,0.09535381652984175,0.0,0.7892411020905898
pooled_common,rich,ridge_margin,M,play_in,16,0.19649984243831053,0.0,0.6202244964466668
pooled_common,rich,ridge_margin,M,rounds_1_2,235,0.17456245740321208,0.05531914893617021,0.7549064488200286
pooled_common,rich,ridge_margin,M,rounds_3_4,64,0.22407617207094105,0.03125,0.7019975585894842
pooled_common,rich,ridge_margin,M,semifinal,14,0.12546632685999617,0.0,0.7335415676706969
pooled_common,rich,ridge_margin,M,final_or_other,5,0.26206474050660233,0.0,0.6882608200603192
pooled_common,rich,ridge_margin,W,rounds_1_2,176,0.11585002967265695,0.022727272727272728,0.8152424388206985
pooled_common,rich,ridge_margin,W,rounds_3_4,112,0.1990707866819244,0.125,0.8031184913613715
pooled_common,rich,ridge_margin,W,semifinal,20,0.25650471350804327,0.15,0.7744478310393164
pooled_common,rich,ridge_margin,W,final_or_other,7,0.14112340088151334,0.0,0.7912415505398256
pooled_common,rich,seed_logistic,M,play_in,16,0.25,0.0,0.5
pooled_common,rich,seed_logistic,M,rounds_1_2,235,0.19388826256740035,0.08085106382978724,0.7736092344005692
pooled_common,rich,seed_logistic,M,rounds_3_4,64,0.22913962642476504,0.046875,0.6612137426855043
pooled_common,rich,seed_logistic,M,semifinal,14,0.17497845356112154,0.07142857142857142,0.6925591861030885
pooled_common,rich,seed_logistic,M,final_or_other,5,0.22728569029013962,0.0,0.5445726573467254
pooled_common,rich,seed_logistic,W,rounds_1_2,176,0.11755848995928013,0.0,0.7715887723342431
pooled_common,rich,seed_logistic,W,rounds_3_4,112,0.1950399670628086,0.05357142857142857,0.7043875344430229
pooled_common,rich,seed_logistic,W,semifinal,20,0.21475875035945036,0.0,0.5617553908377886
pooled_common,rich,seed_logistic,W,final_or_other,7,0.19403266434737307,0.0,0.5629169323614666
pooled_common,rich,tensorflow_mlp,M,play_in,16,0.22010098709873321,0.0,0.6012180126272142
pooled_common,rich,tensorflow_mlp,M,rounds_1_2,235,0.18123104449137148,0.0425531914893617,0.730738058079906
pooled_common,rich,tensorflow_mlp,M,rounds_3_4,64,0.2339486725933824,0.015625,0.6696053241030313
pooled_common,rich,tensorflow_mlp,M,semifinal,14,0.14069246588711024,0.0,0.6994405500590801
pooled_common,rich,tensorflow_mlp,M,final_or_other,5,0.24466351804598668,0.0,0.6153032094240188
pooled_common,rich,tensorflow_mlp,W,rounds_1_2,176,0.12092060833302803,0.022727272727272728,0.8168675429187715
pooled_common,rich,tensorflow_mlp,W,rounds_3_4,112,0.1994964734937381,0.11607142857142858,0.8042812493055992
pooled_common,rich,tensorflow_mlp,W,semifinal,20,0.290479851222017,0.2,0.7367133252322674
