OuterFoldID,Model,Status,LoadedFromCheckpoint,MacroSeasonBrier,FeatureCount,CalibrationMethod,Architecture,TrainingContext,ValidationSeason,ElapsedSeconds,EndRSSMB
rich_Pooled_2019,xgb_classifier,complete,True,0.14519486883464178,120,identity,pooled_common,Pooled,2019,23.427366800000073,764.8828125
rich_Pooled_2019,lgb_classifier,complete,True,0.14456541580120577,120,identity,pooled_common,Pooled,2019,22.760097700000188,764.96484375
rich_Pooled_2019,torch_mlp,complete,True,0.153511385136528,72,identity,pooled_common,Pooled,2019,46.11235519999991,765.09375
rich_Pooled_2019,tensorflow_mlp,complete,True,0.15203330359958753,72,identity,pooled_common,Pooled,2019,79.97168509999983,765.2578125
rich_Pooled_2019,ridge_margin,complete,True,0.1468536730877976,100,raw_platt,pooled_common,Pooled,2019,12.747309200000018,765.3828125
rich_Pooled_2019,xgb_margin,complete,True,0.14547845234075807,100,raw_platt,pooled_common,Pooled,2019,20.933417700000064,765.51171875
rich_Pooled_2019,lgb_margin,complete,True,0.1458654160358114,100,raw_platt,pooled_common,Pooled,2019,15.929677499999798,765.671875
rich_Pooled_2021,constant_probability,complete,True,0.25,0,identity,pooled_common,Pooled,2021,3.1746084999999766,765.76953125
rich_Pooled_2021,seed_logistic,complete,True,0.1933769262373516,7,identity,pooled_common,Pooled,2021,3.918831699999828,765.953125
rich_Pooled_2021,elo_seed_logistic,complete,True,0.19336539089695512,19,identity,pooled_common,Pooled,2021,4.451073400000041,766.08203125
rich_Pooled_2021,elastic_logistic,complete,True,0.19154045556882762,60,identity,pooled_common,Pooled,2021,58.87878380000029,766.27734375
rich_Pooled_2021,hist_classifier,complete,True,0.1855659768944974,120,identity,pooled_common,Pooled,2021,18.51764830000002,766.421875
rich_Pooled_2021,xgb_classifier,complete,True,0.18792690716295346,120,identity,pooled_common,Pooled,2021,33.69754150000017,766.55078125
rich_Pooled_2021,lgb_classifier,complete,True,0.18862138150946972,120,identity,pooled_common,Pooled,2021,30.755617799999982,766.65234375
rich_Pooled_2021,torch_mlp,complete,True,0.2104028049607179,72,identity,pooled_common,Pooled,2021,100.12494909999987,766.7734375
rich_Pooled_2021,tensorflow_mlp,complete,True,0.1962464126147272,72,identity,pooled_common,Pooled,2021,119.93695579999985,766.875
rich_Pooled_2021,ridge_margin,complete,True,0.1936755900844411,100,raw_platt,pooled_common,Pooled,2021,22.63970640000025,767.0390625
rich_Pooled_2021,xgb_margin,complete,True,0.18955792750723865,100,raw_platt,pooled_common,Pooled,2021,42.34836019999966,767.13671875
rich_Pooled_2021,lgb_margin,complete,True,0.18973814876043238,100,raw_platt,pooled_common,Pooled,2021,29.38829850000002,767.2578125
rich_M_2016,constant_probability,complete,True,0.25,0,identity,separate_gender,M,2016,4.808781299999737,767.30078125
rich_M_2016,seed_logistic,complete,True,0.2048052189601254,6,identity,separate_gender,M,2016,6.482178799999929,767.34375
rich_M_2016,elo_seed_logistic,complete,True,0.20479438742009942,18,identity,separate_gender,M,2016,6.7380725999996685,767.3984375
rich_M_2016,elastic_logistic,complete,True,0.18458920761515973,60,identity,separate_gender,M,2016,32.041631699999925,767.47265625
rich_M_2016,hist_classifier,complete,True,0.18602152333975264,105,identity,separate_gender,M,2016,13.434260200000153,767.50390625
rich_M_2016,xgb_classifier,complete,True,0.18491987850866357,105,identity,separate_gender,M,2016,25.197783699999945,767.546875
rich_M_2016,lgb_classifier,complete,True,0.18423568106726496,105,identity,separate_gender,M,2016,23.585724800000207,767.58984375
rich_M_2016,torch_mlp,complete,True,0.1900382812489934,70,identity,separate_gender,M,2016,38.45284549999997,767.63671875
rich_M_2016,tensorflow_mlp,complete,True,0.1849770048125017,70,identity,separate_gender,M,2016,137.4654813000002,767.69921875
rich_M_2016,ridge_margin,complete,True,0.18311463451199478,94,raw_platt,separate_gender,M,2016,10.619728900000155,767.78125
rich_M_2016,xgb_margin,complete,True,0.18174555922969196,94,raw_platt,separate_gender,M,2016,21.329726500000106,767.86328125
rich_M_2016,lgb_margin,complete,True,0.18115153190499897,94,raw_platt,separate_gender,M,2016,15.251197799999773,767.96484375
rich_M_2017,constant_probability,complete,True,0.25,0,identity,separate_gender,M,2017,3.7020238999998583,768.0546875
rich_M_2017,seed_logistic,complete,True,0.1827684725296369,6,identity,separate_gender,M,2017,5.824942799999917,768.1328125
rich_M_2017,elo_seed_logistic,complete,True,0.18278295811404133,18,identity,separate_gender,M,2017,6.6358203999998295,768.234375
rich_M_2017,elastic_logistic,complete,True,0.17256126501298943,60,identity,separate_gender,M,2017,54.4266932999999,768.36328125
rich_M_2017,hist_classifier,complete,True,0.17103575586535139,114,identity,separate_gender,M,2017,20.08424930000001,768.484375
rich_M_2017,xgb_classifier,complete,True,0.16890685695304367,114,identity,separate_gender,M,2017,61.03639440000006,768.58203125
rich_M_2017,lgb_classifier,complete,True,0.1679127670550533,114,identity,separate_gender,M,2017,38.17278800000031,768.6875
rich_M_2017,torch_mlp,complete,True,0.17301770346318288,72,identity,separate_gender,M,2017,68.1735819999999,768.80078125
rich_M_2017,tensorflow_mlp,complete,True,0.18057836774873234,72,identity,separate_gender,M,2017,96.57642990000022,768.91796875
rich_M_2017,ridge_margin,complete,True,0.16777523573972877,100,raw_platt,separate_gender,M,2017,11.124681999999666,769.0390625
rich_M_2017,xgb_margin,complete,True,0.172651909601175,100,raw_platt,separate_gender,M,2017,24.59059249999973,769.17578125
rich_M_2017,lgb_margin,complete,True,0.17725163305904057,100,raw_platt,separate_gender,M,2017,20.035096099999464,769.25390625
rich_M_2018,constant_probability,complete,True,0.25,0,identity,separate_gender,M,2018,3.5494551000001593,769.35546875
rich_M_2018,seed_logistic,complete,True,0.20839367066583814,6,identity,separate_gender,M,2018,4.530849400000079,769.453125
rich_M_2018,elo_seed_logistic,complete,True,0.2083949709547925,18,identity,separate_gender,M,2018,5.883132999999361,769.59375
rich_M_2018,elastic_logistic,complete,True,0.1974261697537899,60,identity,separate_gender,M,2018,28.327085800000532,769.6875
rich_M_2018,hist_classifier,complete,True,0.21718285742001525,120,identity,separate_gender,M,2018,12.096705699999802,769.7890625
rich_M_2018,xgb_classifier,complete,True,0.20416188690012146,120,identity,separate_gender,M,2018,42.753589300000385,769.9140625
rich_M_2018,lgb_classifier,complete,True,0.19730175206216247,120,identity,separate_gender,M,2018,48.32334230000015,770.03515625
rich_M_2018,torch_mlp,complete,True,0.20738532341379368,72,spline,separate_gender,M,2018,52.1008283000001,770.14453125
rich_M_2018,tensorflow_mlp,complete,True,0.20598428553781092,72,identity,separate_gender,M,2018,79.04726680000022,770.23828125
rich_M_2018,ridge_margin,complete,True,0.19993028606707802,100,raw_platt,separate_gender,M,2018,10.680342999999993,770.3515625
rich_M_2018,xgb_margin,complete,True,0.19840760766738963,100,raw_platt,separate_gender,M,2018,26.1239115999997,770.4453125
rich_M_2018,lgb_margin,complete,True,0.20074419906777702,100,raw_platt,separate_gender,M,2018,17.91679600000043,770.55078125
rich_M_2019,constant_probability,complete,True,0.25,0,identity,separate_gender,M,2019,3.9045541999994384,770.66796875
rich_M_2019,seed_logistic,complete,True,0.1763139841008621,6,identity,separate_gender,M,2019,4.742141499999889,770.78125
rich_M_2019,elo_seed_logistic,complete,True,0.17628810828261815,18,identity,separate_gender,M,2019,4.200828499999261,770.875
rich_M_2019,elastic_logistic,complete,True,0.16295639338525128,60,identity,separate_gender,M,2019,28.38538250000056,771.0234375
rich_M_2019,hist_classifier,complete,True,0.16640960641554028,120,identity,separate_gender,M,2019,12.015800099999979,771.1328125
rich_M_2019,xgb_classifier,complete,True,0.1583158711869493,120,identity,separate_gender,M,2019,32.603883900000255,771.21484375
rich_M_2019,lgb_classifier,complete,True,0.16292887916220983,120,identity,separate_gender,M,2019,31.222986000000674,771.29296875
rich_M_2019,torch_mlp,complete,True,0.15815012605175408,72,identity,separate_gender,M,2019,66.14082380000036,771.3984375
rich_M_2019,tensorflow_mlp,complete,True,0.15916918583697295,72,identity,separate_gender,M,2019,118.39279369999986,771.515625
rich_M_2019,ridge_margin,complete,True,0.16495729277826923,100,raw_platt,separate_gender,M,2019,16.227708299999904,771.59765625
rich_M_2019,xgb_margin,complete,True,0.15992700903838533,100,raw_platt,separate_gender,M,2019,22.367302499999823,771.703125
rich_M_2019,lgb_margin,complete,True,0.16295589102555288,100,raw_platt,separate_gender,M,2019,23.32320290000007,771.80859375
rich_M_2021,constant_probability,complete,True,0.25,0,identity,separate_gender,M,2021,4.089216999999735,771.87890625
rich_M_2021,seed_logistic,complete,True,0.23213092790761045,6,identity,separate_gender,M,2021,4.613919000000351,771.984375
rich_M_2021,elo_seed_logistic,complete,True,0.2321371389964289,18,identity,separate_gender,M,2021,4.709501000000273,772.08984375
rich_M_2021,elastic_logistic,complete,True,0.2164630310653366,60,identity,separate_gender,M,2021,28.33939650000002,772.1796875
rich_M_2021,hist_classifier,complete,True,0.2004390292679924,120,identity,separate_gender,M,2021,8.573647899999742,772.3203125
rich_M_2021,xgb_classifier,complete,True,0.20747414522985944,120,identity,separate_gender,M,2021,36.880357300000014,772.42578125
rich_M_2021,lgb_classifier,complete,True,0.20124605005285362,120,identity,separate_gender,M,2021,14.128198299999895,772.5
rich_M_2021,torch_mlp,complete,True,0.22984301227785867,72,identity,separate_gender,M,2021,38.406477500000165,772.5859375
rich_M_2021,tensorflow_mlp,complete,True,0.23812120958446056,72,identity,separate_gender,M,2021,96.74160840000013,772.68359375
rich_M_2021,ridge_margin,complete,True,0.19749309746593766,100,raw_platt,separate_gender,M,2021,11.604350600000544,772.78125
rich_M_2021,xgb_margin,complete,True,0.2062422732628475,100,raw_platt,separate_gender,M,2021,26.595452900000055,772.8671875
rich_M_2021,lgb_margin,complete,True,0.2099840273860917,100,raw_platt,separate_gender,M,2021,23.106000799999492,772.953125
rich_W_2016,constant_probability,complete,True,0.25,0,identity,separate_gender,W,2016,3.9563249000002543,773.04296875
rich_W_2016,seed_logistic,complete,True,0.20362327593960103,6,platt,separate_gender,W,2016,4.555006599999615,773.1328125
rich_W_2016,elo_seed_logistic,complete,True,0.2036587158259229,18,platt,separate_gender,W,2016,4.767189999999573,773.2109375
rich_W_2016,elastic_logistic,complete,True,0.1581437466328797,27,identity,separate_gender,W,2016,32.1136649,773.3125
rich_W_2016,hist_classifier,complete,True,0.16850059339346649,47,identity,separate_gender,W,2016,9.093660900000032,773.421875
rich_W_2016,xgb_classifier,complete,True,0.1718439009037147,47,identity,separate_gender,W,2016,28.920632000000296,773.5078125
rich_W_2016,lgb_classifier,complete,True,0.16250056378485786,47,identity,separate_gender,W,2016,22.84098499999982,773.57421875
rich_W_2016,torch_mlp,complete,True,0.19102500617571258,31,identity,separate_gender,W,2016,31.730148399999962,773.671875
rich_W_2016,tensorflow_mlp,complete,True,0.16693909133666052,31,identity,separate_gender,W,2016,91.40156350000052,773.76953125
rich_W_2016,ridge_margin,complete,True,0.1829421822966096,42,raw_platt,separate_gender,W,2016,9.306319000000258,773.88671875
rich_W_2016,xgb_margin,complete,True,0.18113125207024436,42,raw_platt,separate_gender,W,2016,29.882954299999255,773.97265625
rich_W_2016,lgb_margin,complete,True,0.1733959545097801,42,raw_platt,separate_gender,W,2016,19.368881800000054,774.07421875
rich_W_2017,constant_probability,complete,True,0.25,0,identity,separate_gender,W,2017,4.169541799999934,774.171875
rich_W_2017,seed_logistic,complete,True,0.14110843446903418,6,identity,separate_gender,W,2017,4.7967398000000685,774.2734375
rich_W_2017,elo_seed_logistic,complete,True,0.14110188956900868,18,identity,separate_gender,W,2017,4.811652899999899,774.3671875
rich_W_2017,elastic_logistic,complete,True,0.12986020107223578,31,identity,separate_gender,W,2017,33.77016769999955,774.5390625
rich_W_2017,hist_classifier,complete,True,0.14005609365617716,55,identity,separate_gender,W,2017,9.329147700000249,774.6484375
rich_W_2017,xgb_classifier,complete,True,0.12729049110688,55,identity,separate_gender,W,2017,37.97401910000008,774.75
rich_W_2017,lgb_classifier,complete,True,0.13362270831622378,55,identity,separate_gender,W,2017,25.724331499999607,774.8359375
rich_W_2017,torch_mlp,complete,True,0.14648941134149315,36,identity,separate_gender,W,2017,33.712459399999716,774.9765625
rich_W_2017,tensorflow_mlp,complete,True,0.14712793746507294,36,identity,separate_gender,W,2017,89.31019049999941,775.11328125
rich_W_2017,ridge_margin,complete,True,0.13245639627650463,49,raw_platt,separate_gender,W,2017,10.048020700000052,775.23828125
rich_W_2017,xgb_margin,complete,True,0.13536340939791744,49,raw_platt,separate_gender,W,2017,25.923759399999653,775.33203125
rich_W_2017,lgb_margin,complete,True,0.1325893802424464,49,raw_platt,separate_gender,W,2017,26.19659969999975,775.4609375
rich_W_2018,constant_probability,complete,True,0.25,0,identity,separate_gender,W,2018,4.346082600000045,775.5390625
rich_W_2018,seed_logistic,complete,True,0.1673749955900946,6,identity,separate_gender,W,2018,5.291382800000065,775.6484375
rich_W_2018,elo_seed_logistic,complete,True,0.1673782856302919,18,identity,separate_gender,W,2018,6.432382500000131,775.76953125
rich_W_2018,elastic_logistic,complete,True,0.15807143614370153,36,identity,separate_gender,W,2018,43.688319599999886,775.87109375
