Season,Rows,Brier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,Architecture,Universe,Model,EvaluationGender
2016,130,0.17653548869807134,0.5287611895170482,0.8232727272727273,0.7627244566186772,0.759861126910884,0.7307692307692307,0.7375757575757576,0.6515151515151515,0.7818181818181819,0.7107438016528925,0.46955031923712304,0.5,52,23,12,43,0.4230769230769231,0.5076923076923077,partial_pooling,rich,partial_pooling_ensemble,ALL
2017,130,0.15431638369327658,0.4639941217576174,0.8679021145165122,0.8467088412945641,0.845201524533435,0.7615384615384615,0.7696602518412925,0.6875,0.9016393442622951,0.7801418439716312,0.5532308612504069,0.5,44,25,6,55,0.46923076923076923,0.6153846153846154,partial_pooling,rich,partial_pooling_ensemble,ALL
2018,130,0.17824096855052177,0.5307720063880044,0.8137278106508875,0.823898718508203,0.8221516429415723,0.7307692307692307,0.7307692307692308,0.75,0.6923076923076923,0.72,0.46291004988627577,0.5,50,15,20,45,0.5,0.46153846153846156,partial_pooling,rich,partial_pooling_ensemble,ALL
2019,130,0.14408527548515287,0.4320746092340824,0.8752672843905915,0.8608491923995112,0.8595380886671491,0.7538461538461538,0.7529104300308862,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.5058208600617724,0.5,53,16,16,45,0.46923076923076923,0.46923076923076923,partial_pooling,rich,partial_pooling_ensemble,ALL
2021,129,0.1877545287807586,0.5502542117217779,0.7917874396135265,0.8220101045767574,0.8203095582416232,0.7209302325581395,0.7184782608695652,0.7323943661971831,0.7536231884057971,0.7428571428571429,0.4381221650709883,0.5,41,19,17,52,0.5348837209302325,0.5503875968992248,partial_pooling,rich,partial_pooling_ensemble,ALL
2016,67,0.1851512963531077,0.5553472112568121,0.7912885662431942,0.7237485856513576,0.7045868629880491,0.6865671641791045,0.6869328493647913,0.625,0.6896551724137931,0.6557377049180327,0.3708492520512258,0.5,26,12,9,20,0.43283582089552236,0.47761194029850745,partial_pooling,rich,partial_pooling_ensemble,M
2017,67,0.16793522594858465,0.49514086006401914,0.8422459893048129,0.8470862598398946,0.8444688935139522,0.7164179104477612,0.7196969696969697,0.6458333333333334,0.9393939393939394,0.7654320987654321,0.4873635797890912,0.5,17,17,2,31,0.4925373134328358,0.7164179104477612,partial_pooling,rich,partial_pooling_ensemble,M
2018,67,0.19781992490303618,0.5895130620644717,0.7589605734767025,0.765399817771997,0.7609192673803492,0.7164179104477612,0.7092293906810037,0.7307692307692307,0.6129032258064516,0.6666666666666666,0.4281600879088364,0.5,29,7,12,19,0.4626865671641791,0.3880597014925373,partial_pooling,rich,partial_pooling_ensemble,M
2019,67,0.15534483807768415,0.4619429658270246,0.8557168784029038,0.8235201364822725,0.8201131980197484,0.7313432835820896,0.7264065335753176,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.4528130671506352,0.5,29,9,9,20,0.43283582089552236,0.43283582089552236,partial_pooling,rich,partial_pooling_ensemble,M
2021,66,0.21103055086853903,0.6086620038229957,0.7500000000000001,0.7492976513698439,0.7435528671084672,0.696969696969697,0.7003676470588236,0.65,0.8125,0.7222222222222222,0.40987872061240227,0.5,20,14,6,26,0.48484848484848486,0.6060606060606061,partial_pooling,rich,partial_pooling_ensemble,M
2016,63,0.167372645636366,0.5004871663969819,0.8659043659043659,0.8270354992610273,0.8236008924433799,0.7777777777777778,0.7936590436590436,0.6764705882352942,0.8846153846153846,0.7666666666666667,0.5801261660135925,0.5,26,11,3,23,0.4126984126984127,0.5396825396825397,partial_pooling,rich,partial_pooling_ensemble,W
2017,63,0.139832853040806,0.430869812765095,0.9010204081632653,0.8765682260237608,0.8741575894794332,0.8095238095238095,0.8142857142857143,0.75,0.8571428571428571,0.8,0.6247580176717713,0.5,27,8,4,24,0.4444444444444444,0.5079365079365079,partial_pooling,rich,partial_pooling_ensemble,W
