Experiment,Stage,BaseModel,Gender,Architecture,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
compact_basic,2,xgb_classifier,M,separate_gender,334,5,0.19311699201572732,0.19307164533367202,0.013848737982340287,0.20826278382219843,0.5681002407251478,0.7795093795093795,0.754692141772985,0.7534119008723781,0.6976047904191617,0.7006854256854257,0.6514285714285715,0.7402597402597403,0.6930091185410334,0.40061283208925863,0.5,119,61,40,114,0.46107784431137727,0.5239520958083832,-0.23982596511670654,1.0630316880975061,0.046018409988881945,0.08794831236203515,0.0029823795145681995,0.058266572302255765,0.24848506579655064
compact_plus_ratings,3,xgb_classifier,M,separate_gender,334,5,0.1856900238115392,0.18560017151929684,0.02026238913522318,0.2157006894204726,0.5483306081955448,0.7933261183261182,0.764550347316606,0.7633848886536805,0.7035928143712575,0.7048340548340548,0.6646706586826348,0.7207792207792207,0.6915887850467289,0.4084249830886534,0.5,124,56,43,111,0.46107784431137727,0.5,-0.22568590018034493,0.9884955601021819,0.04933764367827219,0.1431863899483825,0.004059449748415776,0.0638036265360342,0.24848506579655064
schedule_context,4,xgb_classifier,M,separate_gender,334,5,0.18407871660281425,0.18398506331605902,0.021493932680790584,0.21535891437905247,0.5440288544550914,0.7981240981240982,0.7671381587513671,0.7657609880174294,0.718562874251497,0.7205988455988456,0.6764705882352942,0.7467532467532467,0.7098765432098766,0.4399298791192584,0.5,125,55,39,115,0.46107784431137727,0.5089820359281437,-0.21103212752449932,0.9556686174234903,0.043159805015175634,0.1211138925317562,0.003406063693275048,0.06667222089811219,0.24848506579655064
rich_efficiency,5,xgb_classifier,M,separate_gender,334,5,0.1836617219663616,0.18356375233892935,0.023521997667733437,0.21638357752873566,0.5424179387735472,0.7994949494949495,0.7680809492433063,0.7666826024189171,0.7245508982035929,0.7275613275613275,0.6781609195402298,0.7662337662337663,0.7195121951219512,0.45414072807773287,0.5,124,56,36,118,0.46107784431137727,0.5209580838323353,-0.21073924281116402,0.9564299081136775,0.044295136956219186,0.12089736262957251,0.003120489967603459,0.06655480866375736,0.24848506579655064
history_context,6,xgb_classifier,M,separate_gender,334,5,0.18537196119673913,0.18528121357238844,0.020245494003519302,0.21568166772986624,0.5471444305643479,0.79505772005772,0.7622587678325162,0.7607252979724027,0.7155688622754491,0.7182900432900433,0.6705202312138728,0.7532467532467533,0.709480122324159,0.43553648923359595,0.5,123,57,38,116,0.46107784431137727,0.5179640718562875,-0.20702319274722197,0.9427232975511525,0.03830716256498398,0.0871657823974436,0.002117330363774277,0.06454012146062353,0.24848506579655064
men_massey,7,xgb_classifier,M,separate_gender,334,5,0.18447658496428085,0.1844009518210431,0.01864483606355403,0.2097380548056957,0.545734589153968,0.7976551226551226,0.7581150477574252,0.7540346917514679,0.7125748502994012,0.7141053391053391,0.6726190476190477,0.7337662337662337,0.7018633540372671,0.426918938681728,0.5,125,55,41,113,0.46107784431137727,0.5029940119760479,-0.19485254081719114,0.9320951424111246,0.046587368373028536,0.09834534110444959,0.003379018383199756,0.06686701846874632,0.24848506579655064
matchup_interactions,8,xgb_classifier,M,separate_gender,334,5,0.18283009089381766,0.1827486816542353,0.020575330899563565,0.21002077691432378,0.5421844451094848,0.8020923520923522,0.7606022876756934,0.7565243405258983,0.7155688622754491,0.7178210678210678,0.672514619883041,0.7467532467532467,0.7076923076923077,0.43444483060448946,0.5,124,56,39,115,0.46107784431137727,0.5119760479041916,-0.19631762801183925,0.9421858989219694,0.04042695649525899,0.09578276944882941,0.0028167972132976896,0.06894308024892927,0.24848506579655064
full_candidate_bank,9,xgb_classifier,M,separate_gender,334,5,0.1846830059685703,0.18460586716944463,0.02181732894140717,0.21044736487653865,0.5463044848548329,0.7965728715728715,0.7638188415617828,0.7621598050674514,0.718562874251497,0.7210678210678211,0.6744186046511628,0.7532467532467533,0.7116564417177914,0.44099169289104534,0.5,124,56,38,116,0.46107784431137727,0.5149700598802395,-0.20991890156984316,0.9476082633248547,0.0673915291829648,0.20704939080910245,0.008429234356118987,0.07174496311421474,0.24848506579655064
constant_probability,0,elastic_logistic,W,separate_gender,315,5,0.25,0.25,0.0,0.25,0.6931471805599454,0.5,0.4984126984126984,0.7492063492063492,0.4984126984126984,0.5,0.4984126984126984,1.0,0.6652542372881356,0.0,0.5,0,158,0,157,0.4984126984126984,1.0,-0.006349227678658724,0.0,0.0015873015873015817,0.0015873015873015817,2.5195263290501205e-06,0.0,0.24999748047367096
seed_only,1,elastic_logistic,W,separate_gender,315,5,0.15742726159062392,0.15742726159062392,0.026317002352083983,0.1993595759874297,0.47522331754859276,0.8510642586471016,0.8354458137344447,0.8359258790631194,0.7746031746031746,0.774671450455535,0.7621951219512195,0.7961783439490446,0.778816199376947,0.5498085491780563,0.5,119,39,32,125,0.4984126984126984,0.5206349206349207,-0.07902699965585393,0.972831440114969,0.0667041628573967,0.18395637979022605,0.007376916996612036,0.09975768021129267,0.24999748047367096
compact_basic,2,elastic_logistic,W,separate_gender,315,5,0.16067712916584434,0.16067712916584434,0.0203395109872887,0.1803454200458128,0.48196379598063527,0.8548738208497945,0.8589214984989408,0.858407542790454,0.7492063492063492,0.7492743691042489,0.7378048780487805,0.7707006369426752,0.7538940809968847,0.49897133101086244,0.5,115,43,36,121,0.4984126984126984,0.5206349206349207,-0.14948081922006642,0.7608095148097516,0.06503597965689435,0.1990151198640946,0.007644160892454733,0.09589481790326643,0.24999748047367096
compact_plus_ratings,3,elastic_logistic,W,separate_gender,315,5,0.15299937944130101,0.15299937944130104,0.02005070589226306,0.17994510812613734,0.4594573520727624,0.8672498589051035,0.8698411326920258,0.8693730750576288,0.7777777777777778,0.777876320245102,0.7604790419161677,0.8089171974522293,0.7839506172839507,0.5567635703966656,0.5,118,40,30,127,0.4984126984126984,0.5301587301587302,-0.17649587496576255,0.7664220941192188,0.05581886536847811,0.1895138748222962,0.007547732469145778,0.10570984606506881,0.24999748047367096
schedule_context,4,elastic_logistic,W,separate_gender,315,5,0.15396275301048196,0.15396275301048193,0.018816146734347304,0.17994510812613734,0.4618515992294025,0.8659195355962267,0.8690448849167411,0.8685757826047513,0.780952380952381,0.7810610336208982,0.7619047619047619,0.8152866242038217,0.7876923076923077,0.5633725678548384,0.5,118,40,29,128,0.4984126984126984,0.5333333333333333,-0.177101141459362,0.7604740740493743,0.06314540668017657,0.24122508759460148,0.00960486603244377,0.1051562106324011,0.24999748047367096
rich_efficiency,5,elastic_logistic,W,separate_gender,315,5,0.15163765906255972,0.15163765906255972,0.01991310870002091,0.17635352928569828,0.45614651342957224,0.8684592437313553,0.869422449642436,0.8689449999992507,0.7904761904761904,0.7905547045069741,0.7757575757575758,0.8152866242038217,0.7950310559006211,0.5817664542671295,0.5,121,37,29,128,0.4984126984126984,0.5238095238095238,-0.1686760299955846,0.7724481565668827,0.05576529751717953,0.21770156279671937,0.007709122288222923,0.1052330155479157,0.24999748047367096
history_context,6,elastic_logistic,W,separate_gender,315,5,0.15163765906255972,0.15163765906255972,0.01991310870002091,0.17635352928569828,0.45614651342957224,0.8684592437313553,0.869422449642436,0.8689449999992507,0.7904761904761904,0.7905547045069741,0.7757575757575758,0.8152866242038217,0.7950310559006211,0.5817664542671295,0.5,121,37,29,128,0.4984126984126984,0.5238095238095238,-0.1686760299955846,0.7724481565668827,0.05576529751717953,0.21770156279671937,0.007709122288222923,0.1052330155479157,0.24999748047367096
men_massey,7,elastic_logistic,W,separate_gender,315,5,0.15163765906255972,0.15163765906255972,0.01991310870002091,0.17635352928569828,0.45614651342957224,0.8684592437313553,0.869422449642436,0.8689449999992507,0.7904761904761904,0.7905547045069741,0.7757575757575758,0.8152866242038217,0.7950310559006211,0.5817664542671295,0.5,121,37,29,128,0.4984126984126984,0.5238095238095238,-0.1686760299955846,0.7724481565668827,0.05576529751717953,0.21770156279671937,0.007709122288222923,0.1052330155479157,0.24999748047367096
matchup_interactions,8,elastic_logistic,W,separate_gender,315,5,0.15163765906255972,0.15163765906255972,0.01991310870002091,0.17635352928569828,0.45614651342957224,0.8684592437313553,0.869422449642436,0.8689449999992507,0.7904761904761904,0.7905547045069741,0.7757575757575758,0.8152866242038217,0.7950310559006211,0.5817664542671295,0.5,121,37,29,128,0.4984126984126984,0.5238095238095238,-0.1686760299955846,0.7724481565668827,0.05576529751717953,0.21770156279671937,0.007709122288222923,0.1052330155479157,0.24999748047367096
full_candidate_bank,9,elastic_logistic,W,separate_gender,315,5,0.15166658716085452,0.1516665871608545,0.019842437197312105,0.17794383566839245,0.45516404448646197,0.8687011206966057,0.8706807579206983,0.8702122850287124,0.7777777777777778,0.7778561638313312,0.7636363636363637,0.802547770700637,0.782608695652174,0.5563406570983267,0.5,119,39,31,126,0.4984126984126984,0.5238095238095238,-0.16744344496726266,0.7793588628448924,0.0553373126986405,0.20154100175826772,0.006804907623656795,0.10521061411422394,0.24999748047367096
constant_probability,0,xgb_classifier,W,separate_gender,315,5,0.25,0.25,0.0,0.25,0.6931471805599454,0.5,0.4984126984126984,0.7492063492063492,0.4984126984126984,0.5,0.4984126984126984,1.0,0.6652542372881356,0.0,0.5,0,158,0,157,0.4984126984126984,1.0,-0.006349227678658724,0.0,0.0015873015873015817,0.0015873015873015817,2.5195263290501205e-06,0.0,0.24999748047367096
seed_only,1,xgb_classifier,W,separate_gender,315,5,0.15587724593206737,0.15587724593206737,0.020026844838561434,0.18369947546454302,0.46272473280471843,0.8448157703781344,0.8351604477879141,0.8343924989661893,0.7682539682539683,0.7683020237039426,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.5368204985672701,0.5,119,39,34,123,0.4984126984126984,0.5142857142857142,-0.026666582039529638,1.073047828954964,0.06263610503621518,0.17621148377656937,0.006103483655194646,0.09899302346114942,0.24999748047367096
compact_basic,2,xgb_classifier,W,separate_gender,315,5,0.15921571517801264,0.1592157151780126,0.01386972646693863,0.1774603517608697,0.4755329952946067,0.8516487946464566,0.851599816275203,0.8510186344126525,0.7492063492063492,0.7492945255180199,0.7349397590361446,0.7770700636942676,0.7554179566563467,0.4993142132581902,0.5,114,44,35,122,0.4984126984126984,0.526984126984127,-0.11811006846161302,0.9912348138783748,0.06791067373539722,0.14406763113314108,0.006506085396423242,0.09748211949056802,0.24999748047367096
compact_plus_ratings,3,xgb_classifier,W,separate_gender,315,5,0.14804155183458467,0.1480415518345847,0.015828098517353,0.16190194943947647,0.446141732194104,0.875513988551157,0.8745273116859013,0.8740592461483109,0.780952380952381,0.7810207207933565,0.7682926829268293,0.802547770700637,0.7850467289719626,0.5625178537198547,0.5,120,38,31,126,0.4984126984126984,0.5206349206349207,-0.11764678259591316,0.8822695982786348,0.0658366238727929,0.18610279213997627,0.006727426606035098,0.11040454652589829,0.24999748047367096
schedule_context,4,xgb_classifier,W,separate_gender,315,5,0.14785229714598722,0.14785229714598722,0.014828095931437303,0.16294516656661404,0.4474265939170281,0.8734983471740708,0.8704834408116894,0.8699532487487476,0.7841269841269841,0.784165121341611,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.5684677585724828,0.5,122,36,32,125,0.4984126984126984,0.5111111111111111,-0.11949501839219043,0.920714814810948,0.05984948017885759,0.213560382925695,0.007576204076586067,0.108382017084014,0.24999748047367096
rich_efficiency,5,xgb_classifier,W,separate_gender,315,5,0.1472973189426443,0.1472973189426443,0.017054584599648783,0.1651253119623974,0.44581049096174347,0.8749899217931145,0.8707778046229961,0.8702682626004271,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.13818473335897272,0.9323685744752865,0.06009421774319238,0.15586939943023026,0.006119117162727251,0.10911806419102885,0.24999748047367096
history_context,6,xgb_classifier,W,separate_gender,315,5,0.1472973189426443,0.1472973189426443,0.017054584599648783,0.1651253119623974,0.44581049096174347,0.8749899217931145,0.8707778046229961,0.8702682626004271,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.13818473335897272,0.9323685744752865,0.06009421774319238,0.15586939943023026,0.006119117162727251,0.10911806419102885,0.24999748047367096
men_massey,7,xgb_classifier,W,separate_gender,315,5,0.1472973189426443,0.1472973189426443,0.017054584599648783,0.1651253119623974,0.44581049096174347,0.8749899217931145,0.8707778046229961,0.8702682626004271,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.13818473335897272,0.9323685744752865,0.06009421774319238,0.15586939943023026,0.006119117162727251,0.10911806419102885,0.24999748047367096
matchup_interactions,8,xgb_classifier,W,separate_gender,315,5,0.1472973189426443,0.1472973189426443,0.017054584599648783,0.1651253119623974,0.44581049096174347,0.8749899217931145,0.8707778046229961,0.8702682626004271,0.7841269841269841,0.7841852777553817,0.7730061349693251,0.802547770700637,0.7875,0.5687145569275606,0.5,121,37,31,126,0.4984126984126984,0.5174603174603175,-0.13818473335897272,0.9323685744752865,0.06009421774319238,0.15586939943023026,0.006119117162727251,0.10911806419102885,0.24999748047367096
full_candidate_bank,9,xgb_classifier,W,separate_gender,315,5,0.1484612410766931,0.14846124107669312,0.020110744368917462,0.16819073871670912,0.4496213328768599,0.8726517777956946,0.8700872505130417,0.869594758879574,0.8,0.800068531806821,0.7865853658536586,0.821656050955414,0.8037383177570093,0.6006457673452502,0.5,123,35,28,129,0.4984126984126984,0.5206349206349207,-0.13582174739866446,0.915791202715855,0.08563058537150187,0.24979634558962238,0.012592811287898282,0.11232466941376312,0.24999748047367096
