Experiment,Stage,BaseModel,Gender,Architecture,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
constant_probability,0,elastic_logistic,M,separate_gender,334,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.46107784431137727,0.7305389221556886,0.46107784431137727,0.5,0.46107784431137727,1.0,0.6311475409836066,0.0,0.5,0,180,0,154,0.46107784431137727,1.0,-0.15600424847658112,0.0,0.03892215568862273,0.03892215568862273,0.0015149342034493866,0.0,0.24848506579655064
seed_only,1,elastic_logistic,M,separate_gender,334,5,0.19816499164523843,0.198082754352885,0.020692282703683333,0.2256322472912629,0.5784086923347773,0.7676046176046176,0.7455816031793712,0.7466980611512745,0.6766467065868264,0.6826479076479076,0.6223404255319149,0.7597402597402597,0.6842105263157895,0.3671013296709644,0.5,109,71,37,117,0.46107784431137727,0.562874251497006,-0.2442257967501219,0.9460712478989333,0.08133373577928472,0.24872481865542273,0.012868446773810705,0.06256686686210475,0.24848506579655064
compact_basic,2,elastic_logistic,M,separate_gender,334,5,0.1910613405605615,0.1909546760136469,0.023420517313455777,0.2266872992300259,0.564769845181161,0.7876623376623377,0.7618095485780202,0.7605975817783676,0.7215568862275449,0.7261904761904762,0.6685082872928176,0.7857142857142857,0.7223880597014926,0.4526014288552783,0.5,120,60,33,121,0.46107784431137727,0.5419161676646707,-0.27192311701279565,0.8554218789246552,0.059343832904684875,0.107730586420406,0.004729161355425401,0.062079801458915715,0.24848506579655064
compact_plus_ratings,3,elastic_logistic,M,separate_gender,334,5,0.18548910406583524,0.18541014974153772,0.01792594854453484,0.2118598483812008,0.548839333721819,0.7968614718614719,0.7709498433821288,0.7698137656374034,0.7335329341317365,0.7363636363636363,0.6878612716763006,0.7727272727272727,0.72782874617737,0.4715972694527385,0.5,126,54,35,119,0.46107784431137727,0.5179640718562875,-0.2146505373759766,0.8737799479708188,0.06697798460655048,0.14755981327856293,0.006788403181521763,0.07024528866631909,0.24848506579655064
schedule_context,4,elastic_logistic,M,separate_gender,334,5,0.18668078875947056,0.1866041323398115,0.017563423750423402,0.2122840329256148,0.5501299688128128,0.7953823953823954,0.7757827352915775,0.77474086069661,0.7035928143712575,0.7053030303030303,0.6627218934911243,0.7272727272727273,0.6934984520123839,0.4093894473819417,0.5,123,57,42,112,0.46107784431137727,0.5059880239520959,-0.2228136032252446,0.8588922765288108,0.0651892468188248,0.24818650589269753,0.008599330919451649,0.07150480172576171,0.24848506579655064
rich_efficiency,5,elastic_logistic,M,separate_gender,334,5,0.18602931460761757,0.18594039215773395,0.020370107623304552,0.21572941286874642,0.5496090224761694,0.7961038961038961,0.7721355558680114,0.7710240757115414,0.7155688622754491,0.7192279942279942,0.6666666666666666,0.7662337662337663,0.7129909365558912,0.43791130771237724,0.5,121,59,36,118,0.46107784431137727,0.5299401197604791,-0.22571104318162022,0.8742660132375975,0.05331306193793517,0.1560116971240324,0.0050578862703865475,0.06922860545520122,0.24848506579655064
history_context,6,elastic_logistic,M,separate_gender,334,5,0.18602931460761757,0.18594039215773395,0.020370107623304552,0.21572941286874642,0.5496090224761694,0.7961038961038961,0.7721355558680114,0.7710240757115414,0.7155688622754491,0.7192279942279942,0.6666666666666666,0.7662337662337663,0.7129909365558912,0.43791130771237724,0.5,121,59,36,118,0.46107784431137727,0.5299401197604791,-0.22571104318162022,0.8742660132375975,0.05331306193793517,0.1560116971240324,0.0050578862703865475,0.06922860545520122,0.24848506579655064
men_massey,7,elastic_logistic,M,separate_gender,334,5,0.18392442222893177,0.18385567782572343,0.01684756004520613,0.2068850529005131,0.5445209022788265,0.799062049062049,0.7759748175949326,0.7749285361427367,0.7215568862275449,0.7247835497835498,0.6742857142857143,0.7662337662337663,0.7173252279635258,0.448718058016928,0.5,123,57,36,118,0.46107784431137727,0.5239520958083832,-0.22737836976694442,0.923197581168857,0.05121101476224194,0.17768704189973716,0.005232226368454395,0.06941806610609196,0.24848506579655064
matchup_interactions,8,elastic_logistic,M,separate_gender,334,5,0.18392442222893177,0.18385567782572343,0.01684756004520613,0.2068850529005131,0.5445209022788265,0.799062049062049,0.7759748175949326,0.7749285361427367,0.7215568862275449,0.7247835497835498,0.6742857142857143,0.7662337662337663,0.7173252279635258,0.448718058016928,0.5,123,57,36,118,0.46107784431137727,0.5239520958083832,-0.22737836976694442,0.923197581168857,0.05121101476224194,0.17768704189973716,0.005232226368454395,0.06941806610609196,0.24848506579655064
full_candidate_bank,9,elastic_logistic,M,separate_gender,334,5,0.18547382717319957,0.18539543583690363,0.019379428687923448,0.2116565334960554,0.547820779866291,0.7964646464646464,0.7744742134502907,0.7734276283257275,0.7245508982035929,0.7284992784992785,0.6741573033707865,0.7792207792207793,0.7228915662650602,0.4566034003686769,0.5,122,58,34,120,0.46107784431137727,0.5329341317365269,-0.24423584465757517,0.9137970092577463,0.057291094428430236,0.2054435176884427,0.00726138731781555,0.07123795573859167,0.24848506579655064
constant_probability,0,xgb_classifier,M,separate_gender,334,5,0.25,0.25,0.0,0.25,0.6931471805599453,0.5,0.46107784431137727,0.7305389221556886,0.46107784431137727,0.5,0.46107784431137727,1.0,0.6311475409836066,0.0,0.5,0,180,0,154,0.46107784431137727,1.0,-0.15600424847658112,0.0,0.03892215568862273,0.03892215568862273,0.0015149342034493866,0.0,0.24848506579655064
seed_only,1,xgb_classifier,M,separate_gender,334,5,0.19966118933093538,0.1995880835824394,0.018455512966644116,0.22407850932859397,0.5839992569081085,0.7635461760461761,0.7322770903645813,0.7324370587316889,0.6766467065868264,0.6831168831168831,0.6210526315789474,0.7662337662337663,0.686046511627907,0.36863532485928147,0.5,108,72,36,118,0.46107784431137727,0.5688622754491018,-0.21001632285947025,0.9739974138997997,0.05944401177460561,0.15748756159754362,0.005576240578597922,0.05415203006412675,0.24848506579655064
