Gender,Season,comparison,delta_brier
M,2016,huber_given_anchor,-0.0019371207053178463
M,2016,compressed_given_anchor,-0.0011340089369785977
M,2016,compression_given_huber,-0.00064304934941916692
M,2016,huber_given_compression,-0.0014461611177584155
M,2016,both_given_anchor,-0.0025801700547370132
M,2017,huber_given_anchor,0.00034995454266656401
M,2017,compressed_given_anchor,-0.00035419142006895554
M,2017,compression_given_huber,-0.00032015527360046425
M,2017,huber_given_compression,0.0003839906891350553
M,2017,both_given_anchor,2.9799269066099754e-05
M,2018,huber_given_anchor,0.00027434657667269047
M,2018,compressed_given_anchor,-0.0010222841063574628
M,2018,compression_given_huber,-0.00082374330874063206
M,2018,huber_given_compression,0.00047288737428952121
M,2018,both_given_anchor,-0.0005493967320679416
M,2019,huber_given_anchor,0.00051790016143593576
M,2019,compressed_given_anchor,0.00075861649981734391
M,2019,compression_given_huber,0.00057444782710688869
M,2019,huber_given_compression,0.00033373148872548053
M,2019,both_given_anchor,0.0010923479885428244
