Gender,recipe,seasons,games,mean_season_brier,game_weighted_brier,mean_season_delta,improved_seasons,worst_season_delta
M,anchor,1,63,0.17320192076291752,0.17320192076291752,0,0,0
M,anchor_both,1,63,0.18362403845391015,0.18362403845391015,0.010422117690992633,0,0.010422117690992633
M,anchor_profile,1,63,0.17420035415923371,0.17420035415923371,0.0009984333963161951,0,0.0009984333963161951
M,anchor_residual,1,63,0.18251298326107521,0.18251298326107521,0.0093110624981576906,0,0.0093110624981576906
W,anchor,1,63,0.14625441329056185,0.14625441329056185,0,0,0
W,anchor_both,1,63,0.15215370393909788,0.15215370393909788,0.0058992906485360319,0,0.0058992906485360319
W,anchor_profile,1,63,0.14645284168926334,0.14645284168926334,0.00019842839870148898,0,0.00019842839870148898
W,anchor_residual,1,63,0.15025298241943377,0.15025298241943377,0.0039985691288719205,0,0.0039985691288719205
combined,anchor,1,126,0.1597281670267397,0.1597281670267397,0,,
combined,anchor_both,1,126,0.16788887119650403,0.16788887119650403,0.0081607041697643323,,
combined,anchor_profile,1,126,0.1603265979242485,0.1603265979242485,0.00059843089750884204,,
combined,anchor_residual,1,126,0.16638298284025449,0.16638298284025449,0.0066548158135148056,,
